name,team,position,cap_number_17_18,cap_number_18_19,salary_17_18,salary_18_19,salary_19_20,salary_20_21,salary_21_22
"Kane, Patrick",CHI,Right,10.500,10.500,13.800,12.000,9.800,7.000,6.900
"Toews, Jonathan",CHI,Center,10.500,10.500,13.800,12.000,9.800,7.000,6.900
"Kopitar, Anze",LAK,Center,10.000,10.000,13.000,12.000,11.000,8.000,8.000
"Ovechkin, Alex",WAS,Left,9.538,9.538,10.000,10.000,10.000,10.000,UFA
"Malkin, Evgeni",PIT,Center,9.500,9.500,9.500,9.500,9.500,9.500,9.500
"Benn, Jamie",DAL,Left,9.500,9.500,13.000,13.000,13.000,9.000,8.500
"Subban, P.K.",NAS,Defence,9.000,9.000,11.000,10.000,10.000,8.000,8.000
"Crosby, Sidney",PIT,Center,8.700,8.700,10.900,10.000,9.000,9.600,9.000
"Perry, Corey",ANA,Right,8.625,8.625,10.000,9.000,8.000,7.000,UFA
"Lundqvist, Henrik",NYR,Goaltender,8.500,8.500,9.000,7.500,7.000,5.500,UFA
"Stamkos, Steven",TBL,Center,8.500,8.500,9.500,9.500,9.500,9.500,7.500
"Giroux, Claude",PHI,Center,8.275,8.275,9.000,9.000,8.000,7.200,5.000
"Getzlaf, Ryan",ANA,Center,8.250,8.250,9.025,8.950,8.275,6.000,UFA
"Voracek, Jakub",PHI,Right,8.250,8.250,10.000,9.250,9.250,6.250,7.500
"Burns, Brent",SJS,Defence,8.000,8.000,10.000,10.000,10.000,10.000,7.500
"Hedman, Victor",TBL,Defence,7.875,7.875,8.000,8.000,8.000,8.000,8.000
"Weber, Shea",MTL,Defence,7.857,7.857,12.000,6.000,6.000,6.000,6.000
"Nash, Rick",NYR,Left,7.800,0.000,8.200,UFA,,,
"Byfuglien, Dustin",WPG,Defence,7.600,7.600,8.000,8.000,8.000,6.000,UFA
"Suter, Ryan",MIN,Defence,7.538,7.538,9.000,9.000,9.000,8.000,6.000
"Parise, Zach",MIN,Left,7.538,7.538,9.000,9.000,9.000,8.000,6.000
"OReilly, Ryan",BUF,Center,7.500,7.500,9.000,8.500,6.000,6.000,6.000
"Spezza, Jason",DAL,Center,7.500,7.500,7.500,7.500,UFA,,
"Ekblad, Aaron",FLA,Defence,7.500,7.500,9.000,7.000,9.000,6.000,9.000
"Tarasenko, Vladimir",STL,Right,7.500,7.500,7.000,7.000,9.500,5.500,9.500
"Bobrovsky, Sergei",CLB,Goaltender,7.425,7.425,6.500,6.200,UFA,,
"Krejci, David",BOS,Center,7.250,7.250,7.500,7.500,7.000,7.000,UFA
"Letang, Kris",PIT,Defence,7.250,7.250,7.250,7.250,7.250,7.250,7.250
"Ryan, Bobby",OTT,Right,7.250,7.250,7.250,7.500,7.500,7.500,7.500
"Sedin, Daniel",VAN,Left,7.000,0.000,7.000,UFA,,,
"Sedin, Henrik",VAN,Center,7.000,0.000,7.000,UFA,,,
"Stastny, Paul",STL,Center,7.000,0.000,7.500,UFA,,,
"Rinne, Pekka",NAS,Goaltender,7.000,7.000,7.000,7.000,UFA,,
"Doughty, Drew",LAK,Defence,7.000,7.000,7.600,7.650,UFA,,
"Rask, Tuukka",BOS,Goaltender,7.000,7.000,7.500,7.000,6.500,6.500,UFA
"Phaneuf, Dion",OTT,Defence,7.000,7.000,7.000,6.500,6.500,5.500,UFA
"Kesler, Ryan",ANA,Center,6.875,6.875,6.675,6.675,6.675,6.675,6.675
"Bergeron, Patrice",BOS,Center,6.875,6.875,8.750,6.875,4.375,4.375,4.375
